,SPY,IEFA,EEM,IEI,IEF,TLT,LQD,HYG,GLD,DBC
2020-07-24,0.01858697121460671,0.017444067589388903,0.011739870138084823,0.30790952782765585,0.14043303244191985,0.044783826450381814,0.09404330634258241,0.05080852027886865,0.0721228692448332,0.02637146801788655
2020-07-31,0.024462437716214338,0.02069357837077435,0.01718728933907797,0.2658190556553127,0.14462154467582827,0.07503352940853428,0.1539060507040807,0.048908067679464824,0.1053177604585033,0.04031229599492408
2020-08-07,0.03249124863358472,0.025333454013706524,0.022181291010609283,0.25835283189058533,0.1266321728545022,0.060139884706297296,0.20857046100739443,0.057948118947153286,0.10686296638421773,0.051487570551949045
2020-08-14,0.032069043046655886,0.025004259960827443,0.021893057551329625,0.265505108010242,0.1298842666383671,0.061612536327837815,0.19925716316093306,0.057195115581618876,0.10676093132608483,0.05081851839610312
2020-08-21,0.03189795354595823,0.024870861332568148,0.021776257300079458,0.26778730837869213,0.1315222303770833,0.06134570148364171,0.19752790582123603,0.05688997757818774,0.10583440441402907,0.05054739976852406
2020-08-28,0.02728107120545387,0.022252463934933717,0.019800575992255955,0.24562702249328014,0.14663089675865543,0.08954519852860636,0.1826239637359959,0.04799636486575197,0.1212423227074601,0.04700011977760644
2020-09-04,0.027281071205453845,0.022252463934933703,0.019800575992255966,0.2456270224932797,0.14663089675865493,0.08954519852860623,0.1826239637359967,0.04799636486575193,0.12124232270746052,0.04700011977760642
2020-09-11,0.027281071205453845,0.022252463934933703,0.019800575992255966,0.2456270224932797,0.14663089675865493,0.08954519852860623,0.1826239637359967,0.04799636486575193,0.12124232270746052,0.04700011977760642
2020-09-18,0.05015791362580763,0.040912512401150625,0.0364045668471504,0.2265838103259047,0.13589888147585183,0.08110629891574017,0.14549058789920355,0.0882442447057527,0.09658982560729781,0.04861135819614048
2020-09-25,0.032420886596562365,0.025402761713711627,0.022282072480664834,0.2601141313945242,0.13023990342516475,0.06463959597158979,0.19734716586411868,0.05773919778376005,0.11056271364682574,0.04925157112307793
2020-10-02,0.055347201936941516,0.04440482778726634,0.03928351480535637,0.23906622606087544,0.12465824378654594,0.06128309912131927,0.15171023240940718,0.09787142555349956,0.08618570892407536,0.050189519614713025
2020-10-09,0.07829532099783751,0.06342802305881788,0.05630479059380812,0.21999680031558072,0.12011533305658323,0.057194280856410346,0.1046606154028614,0.1380397660454415,0.06093648067078748,0.0510285890018718
2020-10-16,0.05732602494216082,0.0464872130388754,0.041196701405125394,0.2566316382313101,0.11183275718545808,0.042710328374882395,0.08127670784511927,0.10254243833547921,0.045684455793648,0.037581410679400074
2020-10-23,0.08581288378119076,0.06986792225426745,0.062090712238595566,0.22523281923270022,0.11226264719811134,0.04624604262963802,0.05765383060973883,0.15176302377961598,0.034401470255411626,0.045328960307735616
2020-10-30,0.1108798886214614,0.09044185633609877,0.0804765195665491,0.19868722362002286,0.11200656037767764,0.04908126605996718,0.03678692864505464,0.1950741431841464,0.024422494085429385,0.052143119503592635
2020-11-06,0.11087988862146146,0.09044185633609886,0.08047651956654901,0.19868722362002172,0.11200656037767891,0.04908126605996717,0.03678692864505449,0.1950741431841465,0.02442249408542929,0.05214311950359248
2020-11-13,0.11087988862146146,0.09044185633609886,0.08047651956654901,0.19868722362002172,0.11200656037767891,0.04908126605996717,0.03678692864505449,0.1950741431841465,0.02442249408542929,0.05214311950359248
