,60_40_net
2023-03-24,0.0051693693247667144
2023-03-31,0.01049092033064683
2023-04-07,0.007841580593258419
2023-04-14,-0.008328896324426592
2023-04-21,-0.002485661971544894
2023-04-28,0.010073207515110127
2023-05-05,-0.007068133185784697
2023-05-12,-0.002950875020496535
2023-05-19,-0.004662639746326386
2023-05-26,0.0011359085404192225
2023-06-02,0.010637512180046538
2023-06-09,0.0013792717713335789
2023-06-16,0.01144733192364402
2023-06-23,-0.002487392754463491
2023-06-30,0.006814786939859113
2023-07-07,-0.015946604273846393
2023-07-14,0.016370276212407074
2023-07-21,0.0037795600573440665
2023-07-28,-0.002936794217153782
2023-08-04,-0.018313206630090936
2023-08-11,-0.005114521790594672
2023-08-18,-0.01305811240417375
2023-08-25,0.008194570149450263
2023-09-01,0.008611348801227376
2023-09-08,-0.006169581499973353
2023-09-15,-0.005689835331394377
2023-09-22,-0.01598337925923729
2023-09-29,-0.012879514934445446
2023-10-06,-0.012644347457031857
2023-10-13,0.013237534663203675
2023-10-20,-0.025820708524472727
2023-10-27,-0.00398227528831545
2023-11-03,0.03523437687160949
2023-11-10,0.006204431837592271
2023-11-17,0.016240866445162185
2023-11-24,0.0025687279071901826
2023-12-01,0.016501918259978852
2023-12-08,0.006672544949288028
2023-12-15,0.026640407028431567
2023-12-22,0.0008565085037415209
2023-12-29,0.0026482712404221173
2024-01-05,-0.014609338443238494
2024-01-12,0.007388312055248813
2024-01-19,-0.004589709479848641
2024-01-26,0.0024599419886463464
2024-02-02,0.014683532911122031
2024-02-09,-0.003238058075899563
2024-02-16,-0.005245123810742402
2024-02-23,0.010031935944072368
2024-03-01,0.006789896769270708
2024-03-08,0.0038969074767211116
2024-03-15,-0.010409786825642003
2024-03-22,0.011728959926081382
2024-03-29,0.003632396759165601
2024-04-05,-0.013934183850509934
2024-04-12,-0.009329983692697663
2024-04-19,-0.015168866765166392
2024-04-26,0.005686967074774195
2024-05-03,0.009681285950726835
2024-05-10,0.0076283767381068335
2024-05-17,0.010718054178865455
2024-05-24,-4.492059314577523e-05
2024-05-31,-0.004930455699182162
2024-06-07,0.009679638947018763
2024-06-14,0.017873644347425353
2024-06-21,-0.0003766342451574033
2024-06-28,-0.00830690906149198
2024-07-05,0.010798604241133956
2024-07-12,0.008594185226799677
2024-07-19,-0.010675335511714838
2024-07-26,-0.0026371889355558233
2024-08-02,0.013725289196316024
2024-08-09,-0.007134633058543732
2024-08-16,0.018290752916289798
2024-08-23,0.008349995456583747
2024-08-30,-0.005793741852797451
2024-09-06,-0.0021686801887454855
2024-09-13,0.017011211238734524
2024-09-20,-0.00036162515760615466
2024-09-27,0.0008859972846365196
2024-10-04,-0.008702113264443605
2024-10-11,-0.0027450394416947185
2024-10-18,0.003660479149953877
2024-10-25,-0.009773297583972163
2024-11-01,-0.008608995900551808
2024-11-08,0.022998133826707335
2024-11-15,-0.016398571921283953
2024-11-22,0.007036316291968935
2024-11-29,0.01799976845472868
2024-12-06,0.00583987209487331
2024-12-13,-0.01779505633274851
2024-12-20,-0.012223550191619364
2024-12-27,-0.0025102652111385786
2025-01-03,-0.0010364201244882074
2025-01-10,-0.01411354700762904
2025-01-17,0.01738944438542754
2025-01-24,0.006205684700554081
2025-01-31,-0.0013734224290550324
2025-02-07,0.006681639353075064
2025-02-14,0.004732036415135204
2025-02-21,-0.003796857099161155
2025-02-28,0.0076540425038821355
2025-03-07,-0.01846706312184583
2025-03-14,-0.007734198977886292
2025-03-21,0.003839871377419545
2025-03-28,-0.007324243917287547
2025-04-04,-0.019915149280353185
2025-04-11,-0.002613982211146431
2025-04-18,-0.0023580174103754233
2025-04-25,0.02154821816385678
2025-05-02,0.006949866662830633
2025-05-09,-0.0042072927140505085
2025-05-16,0.015503419824305652
2025-05-23,-0.01598573587266593
2025-05-30,0.013374440531539732
2025-06-06,0.003306129793350931
2025-06-13,0.002768665167711748
2025-06-20,8.400242400495865e-05
2025-06-27,0.015791990971901048
2025-07-04,0.0055540152326296775
2025-07-11,-0.005711444834447698
2025-07-18,-2.1360412854537665e-05
2025-07-25,0.010195457307797907
2025-08-01,-0.0014609432836024715
2025-08-08,0.006591013945144402
2025-08-15,-0.000129962626589136
2025-08-22,0.0036502843713950737
2025-08-29,-0.0019503276482686792
