,EqualWeight_net
2022-01-21,-0.008702030905126045
2022-01-28,-0.007968693903006677
2022-02-04,0.002534676474598485
2022-02-11,-0.0006201148270394011
2022-02-18,-0.0003143998107166089
2022-02-25,-0.002589452781764925
2022-03-04,0.009428619525370273
2022-03-11,-0.02197776920901654
2022-03-18,0.01492726675233373
2022-03-25,-0.0029936633321858506
2022-04-01,0.004068371576372026
2022-04-08,-0.01555229131714124
2022-04-15,-0.0037359901230014795
2022-04-22,-0.018433465759673587
2022-04-29,-0.007905070963298339
2022-05-06,-0.01214991225525747
2022-05-13,-0.004219020420531514
2022-05-20,0.005272505747638558
2022-05-27,0.02440133962673493
2022-06-03,-0.006385060863835045
2022-06-10,-0.0201452199657288
2022-06-17,-0.0254917634695504
2022-06-24,0.012211023142427769
2022-07-01,-0.003216843314932335
2022-07-08,-0.008669605272520682
2022-07-15,-0.004729297975945704
2022-07-22,0.015586019648997794
2022-07-29,0.01857329960262034
2022-08-05,-0.00820224908464892
2022-08-12,0.015815979555869917
2022-08-19,-0.018529421363927812
2022-08-26,-0.006807955942811366
2022-09-02,-0.023176535206243295
2022-09-09,0.0067365192036903925
2022-09-16,-0.020843341953008555
2022-09-23,-0.02885097772922677
2022-09-30,-0.013705322140570752
2022-10-07,0.015004548194257197
2022-10-14,-0.01907931796170977
2022-10-21,0.004192039939796157
2022-10-28,0.016458645800975454
2022-11-04,0.004003998713088189
2022-11-11,0.0348733085418385
2022-11-18,-0.003438022848636857
2022-11-25,0.009126535204140066
2022-12-02,0.020529623615854954
2022-12-09,-0.013263398150134886
2022-12-16,-0.001422429589784222
2022-12-23,-0.006233537741386588
2022-12-30,-0.004688121824584941
2023-01-06,0.02330034039134391
2023-01-13,0.021696195043769104
2023-01-20,0.0018640374379302518
2023-01-27,0.003270156687358809
2023-02-03,-0.008413273916420723
2023-02-10,-0.010783598614208594
2023-02-17,-0.006634236348329556
2023-02-24,-0.015479885019409875
2023-03-03,0.01598417104765627
2023-03-10,-0.007783220416771926
2023-03-17,0.005854958253980435
2023-03-24,0.010092814287220728
2023-03-31,0.012789063872875456
2023-04-07,0.00854756508227468
2023-04-14,-0.0010274571951973158
2023-04-21,-0.006720619748024697
2023-04-28,0.005418750359050959
2023-05-05,-0.0018466611333497448
2023-05-12,-0.006967901870174647
2023-05-19,-0.005780790769871526
2023-05-26,-0.00433744618383268
2023-06-02,0.007763557766944128
2023-06-09,0.001539744151022914
2023-06-16,0.012006895369948877
2023-06-23,-0.012582791101666286
2023-06-30,0.004477171454299426
2023-07-07,-0.010789180722749248
2023-07-14,0.02314715113950959
2023-07-21,0.0023586742228241296
2023-07-28,0.003821830077591625
2023-08-04,-0.013986992958315864
2023-08-11,-0.0072997702639594
2023-08-18,-0.014161495907443563
2023-08-25,0.007674518622550611
2023-09-01,0.011542186709181694
2023-09-08,-0.0074189042467576165
2023-09-15,0.0017460376148425232
2023-09-22,-0.010988908974616372
2023-09-29,-0.014189852623150825
2023-10-06,-0.013446570201170857
2023-10-13,0.01533860588273387
2023-10-20,-0.014889630059467028
2023-10-27,0.0005934081709586786
2023-11-03,0.027191623637190365
2023-11-10,-0.005790065420885888
2023-11-17,0.01781311830259494
2023-11-24,0.003547900648460031
2023-12-01,0.01603267769703432
2023-12-08,-0.00665058676003793
2023-12-15,0.021526755209020754
2023-12-22,0.005349201234965183
2023-12-29,0.003884732318537418
2024-01-05,-0.012095595239570755
2024-01-12,0.00699633814070285
2024-01-19,-0.010157586371032023
2024-01-26,0.006552208595223653
2024-02-02,0.0027778328813454953
2024-02-09,0.00035282496877220293
2024-02-16,-0.0033692583273204828
2024-02-23,0.006875315371973467
2024-03-01,0.007734469300583431
2024-03-08,0.01059063197997086
2024-03-15,-0.005897167514789078
2024-03-22,0.0073861998399375245
2024-03-29,0.005855659295195268
2024-04-05,-0.0005782168053933916
2024-04-12,-0.008458206207436115
2024-04-19,-0.009120565153301086
2024-04-26,0.006744638785469555
2024-05-03,0.007946898833542932
2024-05-10,0.0068236248756508595
2024-05-17,0.013454931817263776
2024-05-24,-0.00734371942599598
2024-05-31,-0.005098279311933677
2024-06-07,0.0005604863042221629
2024-06-14,0.011047371110489014
2024-06-21,0.0008249155706166944
2024-06-28,-0.0038766387863886816
2024-07-05,0.015716194995718604
2024-07-12,0.008079899966457575
2024-07-19,-0.013570869141399225
2024-07-26,-0.002195864843011464
2024-08-02,0.00657149804807344
2024-08-09,-0.0015003569874530677
2024-08-16,0.017667343923903525
2024-08-23,0.009155036521138709
2024-08-30,-0.005225465291101996
2024-09-06,-0.007449197855026907
2024-09-13,0.01644335739718859
2024-09-20,0.006877791621582183
2024-09-27,0.010009213771202015
2024-10-04,-0.003514749384576095
2024-10-11,-0.0034738655949266874
2024-10-18,-0.0016108255817796607
2024-10-25,-0.007479688949481558
2024-11-01,-0.008909532634361315
2024-11-08,0.008942601963669305
2024-11-15,-0.021125279147615954
2024-11-22,0.01253055858674198
2024-11-29,0.008358181142242283
2024-12-06,0.0034918942346662714
2024-12-13,-0.008124486924959252
2024-12-20,-0.013962445296759567
2024-12-27,9.143843579914005e-05
2025-01-03,0.002576693004665731
2025-01-10,-0.005591815729667369
2025-01-17,0.015222350404007804
2025-01-24,0.008857372480471961
2025-01-31,0.00019689467859556557
2025-02-07,0.006721402734984368
2025-02-14,0.01016056050699534
2025-02-21,0.0029000952702758634
2025-02-28,-0.0027047445422962034
2025-03-07,0.0007308991568779247
2025-03-14,-0.000748792069311003
2025-03-21,0.004829907952213965
2025-03-28,-0.0034269528250095776
2025-04-04,-0.026024883830952996
2025-04-11,0.005517996923759052
2025-04-18,0.0117018992205737
2025-04-25,0.015371088174213485
2025-05-02,0.0020975512746542924
2025-05-09,0.0023211018042814165
2025-05-16,0.005712545218522083
2025-05-23,0.001136036256628212
2025-05-30,0.0021197665167112206
2025-06-06,0.007198006256218621
2025-06-13,0.01070308104398829
2025-06-20,9.104917519669716e-05
2025-06-27,0.005485820994923013
2025-07-04,0.007292448360673916
2025-07-11,-0.0032947440562876486
2025-07-18,0.001550370311304886
2025-07-25,0.005661139134828311
2025-08-01,-0.0031961483835143264
2025-08-08,0.007278983828586292
2025-08-15,0.0011132650899215238
2025-08-22,0.00749180111213642
2025-08-29,-0.00046631009788875304
