,Expert:HERC_CDaR5_L60_net
2022-12-02,0.017010796669056576
2022-12-09,-0.011394796702220251
2022-12-16,0.006037088793347061
2022-12-23,-0.011482972265824187
2022-12-30,-0.008087565238548514
2023-01-06,0.01908779790731134
2023-01-13,0.011931212900259204
2023-01-20,0.0017226859835328164
2023-01-27,-0.0007769610120088292
2023-02-03,-0.004567897405805913
2023-02-10,-0.012092954312394207
2023-02-17,-0.004992793664318564
2023-02-24,-0.011313039879998306
2023-03-03,0.006393542576369877
2023-03-10,0.007820505255071462
2023-03-17,0.011860356872676397
2023-03-24,0.007100371773911914
2023-03-31,0.0027255653891988373
2023-04-07,0.01099103204564259
2023-04-14,-0.0035911182777349114
2023-04-21,-0.007940739599384091
2023-04-28,0.003417508332527195
2023-05-05,-0.001692123318370799
2023-05-12,-0.006254321400910652
2023-05-19,-0.010437636555067346
2023-05-26,-0.006181559412308528
2023-06-02,0.005662679022750024
2023-06-09,0.0015018784867791984
2023-06-16,0.008772168984434794
2023-06-23,-0.01208113835176431
2023-06-30,0.004510163232319466
2023-07-07,-0.00885598746517305
2023-07-14,0.0210772457358036
2023-07-21,0.0034018845342286
2023-07-28,0.004720759446043373
2023-08-04,-0.011457777656324246
2023-08-11,-0.0055920287519460885
2023-08-18,-0.01218072758075435
2023-08-25,0.0078042192681003
2023-09-01,0.012424362168927077
2023-09-08,-0.004323077517353076
2023-09-15,0.0020781286197032213
2023-09-22,-0.007034587162142436
2023-09-29,-0.008430661585601573
2023-10-06,-0.015460111024563674
2023-10-13,0.014759588088554801
2023-10-20,-0.012359787956649283
2023-10-27,0.003901976447606341
2023-11-03,0.02296277010647174
2023-11-10,-0.0063797628896649075
2023-11-17,0.013762819541945316
2023-11-24,0.0033492707261691874
2023-12-01,0.014615162729644224
2023-12-08,-0.015876362765334908
2023-12-15,0.01584052959840601
2023-12-22,0.0076653560652399505
2023-12-29,0.003545202863570085
2024-01-05,-0.011155449138824684
2024-01-12,0.0073512307587484645
2024-01-19,-0.009624493708195488
2024-01-26,0.0038880210296614055
2024-02-02,0.004532096717526749
2024-02-09,-0.0028278017473106066
2024-02-16,-0.004279818999416538
2024-02-23,0.006374924006334619
2024-03-01,0.007603604685742535
2024-03-08,0.008656822280936482
2024-03-15,-0.005258589511210393
2024-03-22,0.007000614475588885
2024-03-29,0.004014861623259102
2024-04-05,-0.0027944968986392178
2024-04-12,-0.007963354683746217
2024-04-19,-0.007387333179675876
2024-04-26,0.0027237174706351407
2024-05-03,0.008512174756587797
2024-05-10,0.002711591601350022
2024-05-17,0.008717082593386266
2024-05-24,-0.004169408132539068
2024-05-31,-0.0021837736789361833
2024-06-07,0.0022375255805191516
2024-06-14,0.012450781564428963
2024-06-21,-0.0013017127056155345
2024-06-28,-0.005467607395969924
2024-07-05,0.009990438892032842
2024-07-12,0.008020650824586075
2024-07-19,-0.005300968449704545
2024-07-26,0.0026235131371257175
2024-08-02,0.022864694653434558
2024-08-09,-0.007810700260416681
2024-08-16,0.00708288733561985
2024-08-23,0.006860820529848611
2024-08-30,-0.005984731484623275
2024-09-06,0.012087925935300739
2024-09-13,0.005727695262548247
2024-09-20,-0.0016460446600666345
2024-09-27,-3.40310843878447e-05
2024-10-04,-0.013216205529353988
2024-10-11,-0.005215332759964008
2024-10-18,0.0006991704351593106
2024-10-25,-0.00919931623835965
2024-11-01,-0.007053809643588259
2024-11-08,0.009285955380373656
2024-11-15,-0.01508157545894226
2024-11-22,0.008347933192314005
2024-11-29,0.010715700059282109
2024-12-06,0.0019658063417254622
2024-12-13,-0.01072710182781629
2024-12-20,-0.00923654275082727
2024-12-27,-0.0028283900809318438
2025-01-03,0.003423877327222195
2025-01-10,-0.0057769289454801375
2025-01-17,0.010974936248518639
2025-01-24,0.00241843344788945
2025-01-31,0.0012510913607074157
2025-02-07,0.005276457124890249
2025-02-14,0.0058871984200283625
2025-02-21,0.0055175901517371985
2025-02-28,0.0005563225132468259
2025-03-07,-0.003060618130141004
2025-03-14,0.0015606456638544053
2025-03-21,0.004963615853789489
2025-03-28,-0.000966943894577581
2025-04-04,0.006688943337642679
2025-04-11,-0.022765279349315132
2025-04-18,0.012267113992384646
2025-04-25,0.005580006316172399
2025-05-02,-0.005679717495961761
2025-05-09,0.0034015933459970804
2025-05-16,-0.006825244093366214
2025-05-23,0.0055512203715252124
2025-05-30,0.0031456328116506154
2025-06-06,-0.001333601656722241
2025-06-13,0.01161290996225201
2025-06-20,0.00039513980616489973
2025-06-27,0.00654867973661705
2025-07-04,-3.500841525878793e-05
2025-07-11,-0.005208150403846152
2025-07-18,0.0014863752163510797
2025-07-25,0.005935580464477667
2025-08-01,-0.0010810105986815695
2025-08-08,0.007125781710730164
2025-08-15,0.0019456272743012771
2025-08-22,0.00577674154242177
2025-08-29,-0.001894039173586304
