,turnover
2023-10-06,0.2
2023-10-13,0.1915193716795539
2023-10-20,0.07475554861419653
2023-10-27,0.10600265334721537
2023-11-03,0.19999999999999998
2023-11-10,0.20000000000000004
2023-11-17,0.2
2023-11-24,0.0
2023-12-01,0.2
2023-12-08,0.18362874754106312
2023-12-15,0.002869771430167728
2023-12-22,0.0025863297888300517
2023-12-29,0.0008492656761655004
2024-01-05,0.00134370618767133
2024-01-12,0.0018013695983574232
2024-01-19,0.04887457379581159
2024-01-26,0.048944914366158776
2024-02-02,0.0
2024-02-09,0.0
2024-02-16,0.2
2024-02-23,0.20000000000000004
2024-03-01,0.017596729578292787
2024-03-08,0.011809244074204476
2024-03-15,0.004433596120178171
2024-03-22,0.20000000000000004
2024-03-29,0.2
2024-04-05,0.19999999999999998
